"","Publication Type","Authors","Author Full Names","Article Title","Source Title","Language","Document Type","Author Keywords","Keywords Plus","Abstract","Addresses","Reprint Addresses","Times Cited, All Databases","Since 2013 Usage Count","Publisher","Publisher City","Publisher Address","Publication Date","Publication Year","Volume","Issue","Part Number","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","DOI","Number of Pages","Research Areas","Open Access Designations","Date of Export"
"1","J","Nekola, JC","Nekola, JC","Paleorefugia and neorefugia: The influence of colonization history on community pattern and process","ECOLOGY","English","Article","biodiversity; biogeography, historical; colonization history influence on community pattern; conservation biology; dispersal; fens; Iowa (USA), northeastern; island biogeography; refugia, paleorefugia vs. neorefugia; species richness; talus slopes, algific; vicariance","COEXISTENCE; DYNAMICS; NICHES; MODEL","Two types of biological refugia (habitats that support populations not able to live elsewhere in a landscape) can be defined from relative refugium age as compared to surrounding matrix age; paleorefugia are now-fragmented relicts of a formerly widespread matrix community, whereas neorefugia have formed more recently than the matrix. This difference should make extinction a relatively more important process in determining species occurrence in paleorefugia, whereas immigration should be relatively more important in neorefugia. Based on these differences, a series of eight a priori predictions relating to the diversity and distribution patterns for the biota of such sites can be generated: (1) the slope of the species-area relationship, and amount of variance explained by it, should be greater in paleorefugia as compared to neorefugia; (2) the negative relationship between habitat isolation and species richness should be stronger in neorefugia as compared to paleorefugia; (3) species richness should be expected to decrease over time in paleorefugia, but to increase over time in neorefugia; (4) the inverse correlation between site distance and community similarity (distance decay) should be stronger in neorefugia as compared to paleorefugia; (5) neorefugia should be enriched in highly vagile species relative to paleorefugia, whereas paleorefugia should be rich in less vagile species relative to neorefugia; (6) geographic factors should be more important predictors of species occurrence for neorefugia than for paleorefugia; (7) paleorefuge sites should possess more and stronger correlations between community composition and environmental covariables (such as soil chemistry, climate, etc.) as compared to neorefuge sites; and (8) the number of competitive co-equivalents held within a system of neorefugia should be greater then the number held within a series of paleorefugia. The most readily testable predictions (numbers 1, 2, 4, and 5) were evaluated by comparing species-richness and community-composition patterns within two northeastern Iowa refugia: algific talus slopes (paleorefugia) and fens (neorefugia). Results from these tests were consistent with predictions. These results illustrate that colonization history may influence contemporaneous species diversity and community-composition patterns. They also suggest that (1) equilibrium has yet to be achieved in the example systems after 5000-10 000 yr, (2) the ecological-biogeographic debate centered around the mutual exclusivity of vicariance and dispersal is intrinsically flawed, and (3) optimum reserve-design strategies for biodiversity protection within paleorefuge and neorefuge systems will differ.","Univ N Carolina, Curriculum Ecol, Chapel Hill, NC 27514 USA","Nekola, JC (corresponding author), Univ Wisconsin, Dept Nat Appl Sci, 2420 Nicolet Dr, Green Bay, WI 54311 USA.",106,26,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","DEC",1999,80,"8",NA,NA,NA,2459,"2473",NA,"10.1890/0012-9658(1999)080[2459:PANTIO]2.0.CO;2",15,"Environmental Sciences & Ecology",NA,"2021-05-12"
"2","J","Taylor, PH; Gaines, SD","Taylor, PH; Gaines, SD","Can Rapoport's rule be rescued? Modeling causes of the latitudinal gradient in species richness","ECOLOGY","English","Article","biodiversity; biogeography; competition; latitudinal diversity gradient; macroecology; Rapoport's rule; rescue effect; species diversity; species geographical range; Stevens hypothesis","DIVERSITY; PATTERNS; SEA","The latitudinal gradient in species richness, wherein species richness peaks near the equator and declines toward the poles, is a widely recognized phenomenon that holds true for many taxa in all habitat types. Understanding the causative mechanism or mechanisms that generate the latitudinal gradient in species richness (LGSR) has been a major challenge, and the gradient remains unexplained. A different latitudinal trend (named Rapoport's rule), in which the mean size of species geographical ranges tends to decline toward the equator, has been hypothesized by G. C. Stevens to play a key role in generating the LGSR when coupled with a version of the rescue effect, in which local populations toward the fringes of geographical ranges are sustained by immigration. The Stevens hypothesis is now commonly cited as a potential explanation for the LGSR and has provoked numerous empirical studies in macroecology and biogeography. However, important aspects of the hypothesis are not obvious in Stevens's verbal model and may go unrecognized, despite their major implications for empirical work related to large-scale ecological and evolutionary processes. Here we present mathematical simulation models that test the logical structure of the Stevens hypothesis, examine effects on global patterns of species richness produced by the mechanisms (Rapoport's rule and the rescue effect) explicitly identified by Stevens, and investigate the additional effect of competition. We find that Rapoport's rule on its own generates an LGSR opposite that of the real world, with species richness peaking at the poles rather than at the equator. The same qualitative result (a reverse LGSR) appears when rescue-effect regions, as described by Stevens, are added to the model. Building upon Stevens's verbal model, we then develop an explicit version of competition and show that competition alone tends to equalize species richness across all latitudes. However, when both Rapoport's rule and competition are included in the model, we find that a qualitatively correct LGSR is produced. Unlike previous hypotheses regarding the LGSR, this version of the model does not rely on a latitudinal gradient in the intensity of competition to produce an LGSR. However, detection of this LGSR depends on the spatial scale at which species richness is sampled, with the LGSR appearing only with regional, not local, sampling. In contrast, when competition is explicitly added to the model with both Rapoport's rule and the rescue effect, an LGSR that is qualitatively consistent with that. of the real world does appear in both local and regional samples. This expanded version of the Stevens hypothesis potentially could explain the real-world LGSR, but all three elements (Rapoport's rule, the rescue effect, and competition) are crucial and must operate sufficiently strongly and in specific ways. The LGSR becomes apparent in the model only when parameter values for Rapoport's rule and the rescue effect are large, possibly unrealistically so, and when all paints on Earth are filled to the competitively defined community species saturation level. These findings highlight the complexity of the hypothesis and the need to consider all three of its components during empirical tests.","Univ Calif Santa Barbara, Dept Ecol Evolut & Marine Biol, Santa Barbara, CA 93106 USA","Gaines, SD (corresponding author), Univ Calif Santa Barbara, Dept Ecol Evolut & Marine Biol, Santa Barbara, CA 93106 USA.",48,18,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","DEC",1999,80,"8",NA,NA,NA,2474,"2482",NA,"10.2307/177233",9,"Environmental Sciences & Ecology",NA,"2021-05-12"
"3","J","Lyons, SK; Willig, MR","Lyons, SK; Willig, MR","A hemispheric assessment of scale dependence in latitudinal gradients of species richness","ECOLOGY","English","Article","areography; bats; biodiversity; geographical ecology; macroecology; marsupials; scale dependence","NORTH-AMERICAN MAMMALS; NEW-WORLD; SPATIAL SCALE; DIVERSITY; DENSITY; MARSUPIALS; AREA; PATTERNS; SIZE; BATS","Considerable controversy surrounds the importance of historical, evolutionary, and ecological factors affecting continental patterns in species richness. Although the importance of area and latitude are both well documented, few attempts have been made to integrate their effects in a single model. Most studies have been conducted by superimposing grids on equal-area projection maps and counting the number of species occurring within grid cells (i.e., quadrats). Unfortunately, different grid-based studies use different quadrat sizes, making comparisons tenuous. We developed a hierarchical model to evaluate the degree to which area (based on a nested series of quadrats of five sizes, 1000-25 000 km(2)) affects the latitudinal gradient in species richness. The model allows the relationship between latitude and area to be nonlinear and, in its simple form, evaluates how well species richness can be predicted by the additive influences of latitude and area. The complex model evaluates whether an area x latitude interaction accounts for significant additional variation in species richness above that in the simple model (i.e., assesses the scale dependence of the latitudinal gradient). For bats and marsupials, the simple model included only latitudinal effects and accounted for over half of the variation in species richness of each of the two taxa. The interactive effect was nonsignificant for each taxon, accounting for <0.1% of additional variation in species richness in each case. If other taxa or land masses produce similar relationships, then the form of the latitudinal gradient is relatively invariant with respect to area at 1000-25 000 km(2) scales, and comparisons among studies at this spatial scale are straightforward.","Texas Tech Univ, Dept Biol Sci, Program Ecol & Conservat Biol, Lubbock, TX 79409 USA; Texas Tech Univ Museum, Lubbock, TX 79409 USA","Lyons, SK (corresponding author), Univ Chicago, Comm Evolutionary Biol, 1025 E 57th St,402 Culver Hall, Chicago, IL 60637 USA.",102,23,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","DEC",1999,80,"8",NA,NA,NA,2483,"2491",NA,"10.2307/177234",9,"Environmental Sciences & Ecology",NA,"2021-05-12"
"4","J","Donalson, DD; Nisbet, RM","Donalson, DD; Nisbet, RM","Population dynamics and spatial scale: Effects of system size on population persistence","ECOLOGY","English","Article","heuristic asynchronous discrete event simulation; individual-based models; Lotka-Volterra model; persistence; predator-prey; scaling; spatial patterns; spatial processes; spatially explicit models; stability; stochastic birth-death model","AGGREGATION; MODELS; STABILITY","This paper explores the Limitations of ecological models based on differential equations. We test three different model implementations of the processes represented by the Lotka-Volterra predator-prey equations. We use these models to investigate the system dynamics suppressed by the assumptions contained in differential-equation-based models; specifically, we examine the effects of space and demographic stochasticity. The differential equation implementation of the Lotka-Volterra processes assumes that there are enough individuals in the system that the effects of demographic stochasticity can be ignored and that the interactions between individuals always occur as though the system were continually well mixed or spatially random. The model predicts a neutrally stable equilibrium and infinite persistence, regardless of the size of the system. We use a stochastic birth-death (SBD) model to explore the possible effects of demographic stochasticity on the basic Lotka-Volterra model. The results show that, over a wide range of system sizes, the time to extinction is finite and increases linearly with the total size of the system. We introduce a new type of spatially explicit individual-based model called the Heuristic Asynchronous Discrete Event Simulation or HADES. HADES adds an explicit component of space to the SBD version of our process. We compare the system dynamics of the SBD and WADES models over the same system sizes, using the same demographic parameters, thereby partitioning the effects of demographic stochasticity and space. As system sizes are increased, the dynamics of the HADES model with respect to the SBD model, as measured by time to extinction, move from equivalent to less stable to much more stable. We analyze the effects of space on the system dynamics using animation, statistical point process analysis, and predicted system dynamics (spatial effects on the predation rate). We then show that both the destabilizing and stabilizing effects of space with respect to the SBD dynamics can be accounted for by specific nonrandom spatial patterns. We contrast our results with three commonly invoked mechanisms that affect the stability of predator-prey systems. We comment on the strengths and limitations of differential-equation-based models.","Univ Calif Santa Barbara, Dept Ecol Evolut & Marine Biol, Santa Barbara, CA 93106 USA","Donalson, DD (corresponding author), Univ Calif Santa Barbara, Dept Ecol Evolut & Marine Biol, Santa Barbara, CA 93106 USA.",56,13,"ECOLOGICAL SOC AMER","WASHINGTON","1707 H ST NW, STE 400, WASHINGTON, DC 20006-3915 USA","DEC",1999,80,"8",NA,NA,NA,2492,"2507",NA,"10.2307/177235",16,"Environmental Sciences & Ecology",NA,"2021-05-12"
"5","J","Pillar, VD","Pillar, VD","How sharp are classifications?","ECOLOGY","English","Article","bootstrap resampling; classification methods; cluster analysis; fuzzy vs. sharp groups; group structure; mapping; partition, appropriate level for cluster analysis; resampling; sampling; similarity; statistical analysis; vegetation, cluster analysis.","STATISTICAL SIGNIFICANCE; SPECIES CLUSTERS; BOOTSTRAP; PHYLOGENIES; NUMBER","Ecologists often use cluster analysis as a tool in the classification and mapping of entities such as communities or landscapes. The problem is that the researcher has to choose an adequate group partition level. In addition, cluster analysis techniques will always reveal groups, even if the data set does nor have a clear group structure. This paper offers a method to test statistically for fuzziness of the partitions in cluster analysis of sampling units that can be used with a wide range of data types and clustering methods. The method applies bootstrap resampling. In this, partitions found in bootstrap samples are compared to the observed partition by the similarity of the sampling units that form the groups, The method tests the null hypothesis that the clusters in the bootstrap samples are random samples of their most similar corresponding clusters mapped one-to-one into the observed data. The resulting probability indicates whether the groups in the partition are sharp enough to reappear consistently in resampling. Examples with artificial and vegetational field data show that the lest gives consistent and useful results. Though the method is computationally demanding, its implementation in a C++ program can run very fast on microcomputers.","Univ Fed Rio Grande do Sul, Dept Ecol, BR-91540000 Porto Alegre, RS, Brazil","Pillar, VD (corresponding author), Univ Fed Rio Grande do Sul, Dept Ecol, BR-91540000 Porto Alegre, RS, Brazil.",98,16,"ECOLOGICAL SOC AMER","WASHINGTON","1990 M STREET NW, STE 700, WASHINGTON, DC 20036 USA","DEC",1999,80,"8",NA,NA,NA,2508,"2516",NA,NA,9,"Environmental Sciences & Ecology",NA,"2021-05-12"
"6","J","Kendall, WL","Kendall, WL","Robustness of closed capture-recapture methods to violations of the closure assumption","ECOLOGY","English","Article","breeding propensity; capture-recapture; closed populations; emigration; immigration; multistate models; Lincoln-Petersen method; Pollock's robust design; species richness; temporary emigration","SMALL-MAMMAL POPULATION; MARK-RECAPTURE; TEMPORARY EMIGRATION; SPECIES RICHNESS; VISIBILITY BIAS; SIZE; DESIGN; MODELS; HETEROGENEITY; PROBABILITIES","Closed-population capture-recapture methods have been used extensively in animal ecology, both by themselves and within the context of Pollock's robust design and multistate models, to estimate various parameters of population and community dynamics. The defining assumption of geographic and demographic closure (i.e., no births, deaths, immigration, or emigration) for the duration of sampling is restrictive and is likely to be violated in many field situations. I evaluated several types of violations of the closure assumption and found that completely random movement in and out of a study area does not introduce bias to estimators from closed-population methods, although it decreases precision. In addition, if capture probabilities vary only with time, the closed-population Lincoln-Petersen estimator is unbiased for the size of the superpopulation when there are only births/immigration or only deaths/emigration. However, for other cases of nonrandom movement, closed-population estimators were biased when movement was Markovian (dependent on the presence/absence of the animal in the previous time period), when an animal was allowed one entry to and one exit from the study area, or when there was trap response or heterogeneity among animals in capture probability. In addition, the probability that an animal is present and available for capture (e.g., breeding propensity) can be estimated using Pollock's robust design only when movement occurs at a broader temporal scale than that of sampling.","USGS Patuxent Wildlife Res Ctr, Laurel, MD 20708 USA","Kendall, WL (corresponding author), USGS Patuxent Wildlife Res Ctr, 11510 Amer Holly Dr, Laurel, MD 20708 USA.",253,96,"ECOLOGICAL SOC AMER","WASHINGTON","1990 M STREET NW, STE 700, WASHINGTON, DC 20036 USA","DEC",1999,80,"8",NA,NA,NA,2517,"2525",NA,"10.2307/177237",9,"Environmental Sciences & Ecology",NA,"2021-05-12"
"7","J","Farmer, AH; Wiens, JA","Farmer, AH; Wiens, JA","Models and reality: Time-energy trade-offs in pectoral sandpiper (Calidris melanotos) migration","ECOLOGY","English","Article","Calidris melanotos; dynamic programming; landscape; migration strategy; model; Pectoral Sandpiper; shorebird; stopovers","MIGRANT SEMIPALMATED SANDPIPERS; OPTIMAL FAT LOADS; SPRING MIGRATION; STOPOVER ECOLOGY; WESTERN SANDPIPERS; SEXUAL SELECTION; AVIAN MIGRATION; ARRIVAL TIMES; SITE USE; BIRDS","We used a combination of modeling and field studies to determine the spring migration strategy of Pectoral Sandpipers (Calidris melanotos). We developed a dynamic programming model to predict patterns that should be detected along the migratory route if Pectoral Sandpipers use a strategy of early arrival at the breeding grounds (time minimization) or arrival at the breeding grounds with excess energy reserves (energy maximization). The predictions were then compared to data collected at stopover sites in the mid-continent of North America and at the breeding grounds in Alaska over a 5-yr period (1992-1996). During spring migration to their Arctic breeding grounds, Pectoral Sandpipers stop periodically to feed. The length-of-stay at such stopovers, for both time minimizers and energy maximizers, was predicted to vary inversely with date and body fat, and to vary directly with invertebrate abundance. We observed that: (1) length-of-stay was negatively correlated with capture date in Missouri and Nebraska, but not in Texas; (2) length-of-stay was not correlated with body fat at any site; and (3) length-of-stay was positively related to invertebrate abundance at the Nebraska and Missouri sites. As the population moves northward in the spring, three regional patterns are diagnostic of migration strategy. Length-of-stay was predicted to be bimodal (energy maximizer) or constant (time minimizer) with respect to latitude, but neither pattern was observed. The migration window, or period of time during which spring migrants occur, was predicted to decrease with increasing latitude for time minimizers, a pattern that was seen for both males and females. Body fat was predicted to increase with latitude for energy maximizers, a pattern that was seen for females but not males. The evidence suggests that males and females differ in their spring migration strategies. Both sexes attempt to arrive in the Arctic as early as possible after ice breakup in the spring. Additionally, females gain significantly higher fat loads than males (up to 60% body fat for females) during migration, and these energy reserves may later enhance female reproductive success. However, females gained large fat loads only during 1993 and 1995, which had above normal spring precipitation along the migration route. We believe that the correlation between female body fat and precipitation reflects an abundance of high-quality stopover habitat during wet springs. This view is supported by model sensitivity analyses showing that the spacing and quality of stopover habitat can strongly influence observed migration patterns. Our results suggest the need to focus additional research on the landscape-level features of the flyway through which shorebirds migrate.","Midcontinent Ecol Sci Ctr, Ft Collins, CO 80525 USA; Colorado State Univ, Dept Biol, Ft Collins, CO 80523 USA","Farmer, AH (corresponding author), Midcontinent Ecol Sci Ctr, 4512 McMurry Ave, Ft Collins, CO 80525 USA.",96,31,"ECOLOGICAL SOC AMER","WASHINGTON","1707 H ST NW, STE 400, WASHINGTON, DC 20006-3915 USA","DEC",1999,80,"8",NA,NA,NA,2566,"2580",NA,"10.1890/0012-9658(1999)080[2566:MARTET]2.0.CO;2",15,"Environmental Sciences & Ecology",NA,"2021-05-12"
"8","J","Clark, DB; Palmer, MW; Clark, DA","Clark, DB; Palmer, MW; Clark, DA","Edaphic factors and the landscape-scale distributions of tropical rain forest trees","ECOLOGY","English","Article","Costa Rica; edaphic biases; edaphic gradients; landscape ecology; mesoscale landscape; randomized tests; topographic position effects; trees; tropical rain forest; tropical soils","ENVIRONMENT RELATIONSHIPS; SPECIES DISTRIBUTIONS; DIPTEROCARP FOREST; SOIL FERTILITY; PUERTO-RICO; COSTA-RICA; DIVERSITY; VEGETATION; COMMUNITY; GRADIENT","Tropical rain forests have the highest tree diversity on earth. Nonrandom spatial distributions of these species in relation to edaphic factors could be one mechanism responsible for maintaining this diversity. We examined the prevalence of nonrandom distributions of trees and palms in relation to soil type and topographic position (edaphic biases) over a mesoscale (573 ha) old-growth tropical rain forest (TRF) landscape at the La Selva Biological Station, Costa Rica. All trees and palms greater than or equal to 10 cm diameter were measured and identified in 1170 circular 0.01-ha plots centered on an existing 50 x 100 m grid. Topographic position was classified for each plot, and slope and aspect were measured. Soil type data were taken from a previous study (Clark et al. 1998). A total of 5127 trees and palms were identified in 267 species. Detrended Correspondence Analysis and Canonical Correspondence Analysis showed that highly significant edaphic gradients were present, with swamp or highly fertile soils separated from the less fertile, well-drained upland soils. Species composition remained significantly related to topographic position when soil type was controlled for. The main florist ic gradients were still significant when flooded sites were excluded from the analyses. Randomization tests on a weighted preference index were used to examine the relations of individual species to soil types arid, within the dominant soil type, to topographic position. Of the 132 species with N greater than or equal to 5 individuals, 33 showed significant associations with soil type. Within the dominant soil type, 13 of 110 analyzable species were nonrandomly associated with one or more topographic positions. For a variety of seasons, including issues relating to sample size and adequate edaphic characterization of landscapes, we suggest that the similar to 30% of species shown to be edaphically biased in this study is an underestimate of the true degree of edaphically related distributional biases. To evaluate this hypothesis will require mesoscale vegetation sampling combined with quantitative soil analyses at the same scale in a range of tropical rain forests. If edaphic distributional biases are shown to be common, this suggests that edaphically linked processes leading to differential recruitment are similarly common.","Univ Missouri, Dept Biol, St Louis, MO 63121 USA; Oklahoma State Univ, Dept Bot, Stillwater, OK 74078 USA","Clark, DB (corresponding author), La Selva Biol Stn, INTERLINK 341,POB 02-5635, Miami, FL 33102 USA.",350,63,"WILEY-BLACKWELL","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","DEC",1999,80,"8",NA,NA,NA,2662,"2675",NA,"10.2307/177248",14,"Environmental Sciences & Ecology",NA,"2021-05-12"
"9","J","Bertness, MD; Leonard, GH; Levine, JM; Schmidt, PR; Ingraham, AO","Bertness, MD; Leonard, GH; Levine, JM; Schmidt, PR; Ingraham, AO","Testing the relative contribution of positive and negative interactions in rocky intertidal communities","ECOLOGY","English","Article","algal canopies; Ascophyllum nodosum; community ecology; Gulf of Maine; habitat amelioration; physical stress; rocky intertidal communities","UNDERSTORY KELP ENVIRONMENTS; ENGLAND SALT-MARSH; ASCOPHYLLUM-NODOSUM; SPECIES-DIVERSITY; ORGANIZATION; COMPETITION; RECRUITMENT; POPULATION; PREDATION; HABITAT","In contrast to many other biotic forces, such as competition and predation, the role played by habitat modification by plants and sessile animals in natural communities has not been given the experimental attention it deserves. To test the hypothesis that habitat modification by seaweed canopies can have direct positive effects on rocky intertidal communities, we quantified habitat amelioration by Ascophyllum nodosum canopies and its consequences on understory organisms in the Gulf of Maine, USA. At the upper and lower elevational borders of the algal canopy, we examined the recruitment, growth, and survivorship of common benthic organisms in canopy removal, canopy control, and shaded canopy removal plots intended to mimic canopy habitat modification. The algal canopy greatly reduced potential physical stresses, particularly at high tidal heights. Maximum daily rock temperatures were 5 degrees-10 degrees C lower and evaporative water loss was an order of magnitude less under the canopy than in canopy removal plots. The response of understory organisms to canopy removal, however, was species specific and somewhat idiosyncratic. Nonetheless, in general, at the high intertidal border of the canopy the recruitment, growth, and survival of understory organisms were enhanced by the canopy, whereas at the low intertidal border canopy effects were negative or neutral. Nearly half of the interactions we studied were positive in the high zone. In contrast to positive canopy effects on understory organism recruitment and growth at high tidal heights, consumer pressure was severe under the canopy, particularly at low tidal heights. Green crab predation is likely responsible for limiting understory mussel densities, while grazing by the snail, Littorina littorea, keeps understory substrate clear of algal recruits. The amelioration of harsh physical conditions by algal canopies can have strong direct positive effects in high rocky intertidal communities by enhancing organism recruitment, growth, and survival. These canopy effects, however, may often be offset by increased consumer pressure at low tidal heights. These types of habitat modification effects are likely to be pervasive in many other terrestrial and marine communities exposed to harsh physical conditions.","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA","Bertness, MD (corresponding author), Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.",287,166,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","DEC",1999,80,"8",NA,NA,NA,2711,"2726",NA,"10.1890/0012-9658(1999)080[2711:TTRCOP]2.0.CO;2",16,"Environmental Sciences & Ecology",NA,"2021-05-12"
"10","J","Strong, DR; Whipple, AV; Child, AL; Dennis, B","Strong, DR; Whipple, AV; Child, AL; Dennis, B","Model selection for a subterranean trophic cascade: Root-feeding caterpillars and entomopathogenic nematodes","ECOLOGY","English","Article","Akaike information criterion; binary data; entomopathogenic nematode; indirect interaction; natural enemy; one-hit dose-response; Schwarz information criterion; statistical models; subterranean herbivory","FOOD-WEB COMPLEXITY; BUSH LUPINE; INTRAGUILD PREDATION; TRAPPING FUNGI; DYNAMICS; LEPIDOPTERA; CALIFORNIA; ECOSYSTEMS; HEPIALIDAE; MORTALITY","Conjecture abounds while evidence is limited concerning indirect protection afforded plants by carnivorous predators in terrestrial ecosystems, apropos of the Hairston-Smith-Slobodkin (HSS) hypothesis. We conducted a field experiment with a suspected trophic cascade. Could an entomopathogenic nematode protect bush lupine by killing root-feeding ghost moth caterpillars? The experiment measured survival of lupine seedlings as a function of density of hatchling ghost moth caterpillars in rhizospheres with or without the entomopathogenic nematode. We modeled lupine survival with a hierarchical family of one-hit dose response models to interpret the results of the experiment. We obtained maximum likelihood estimates of parameters and selected the best-fitting model using the Schwarz Information Criterion (SIC). The best model fit the data closely, and SIC model selection was consistent with classical likelihood ratio test results of models nested in the one-hit family. A parallel analysis performed upon a logistic family of models yielded results of poorer fit but largely consistent with results of the one-hit analysis. Finally, we compared our model-centered approach with the conventional methods-centered approach of logistic regression in statistical packages. While these packages give correct calculations, the implications of hypothesis tests are ecologically obscure in the absence of the explicit representation of models and their hierarchical relationships. For understanding ecological data, building an explicit statistical model of the process and testing parameters can be more: informative than accepting the implicit model and testing variables in canned statistical packages. The ecological implications were that seedling survival decreased exponentially with increasing densities of root-feeding caterpillars, and the entomopathogenic nematode virtually canceled the negative effect: of this herbivore upon seedling survival. However, the significance to the broader community of this trophic cascade remains to be demonstrated. This cascade is a module or vignette within the greater food web, and additional interactions affect its influence: intraguild predation by nematode predators, apparent competition from other herbivores of lupine (each with its own natural enemies), and even more complicated interactions through competing plant species all come into play. As well, genetic variation of both the lupine and ghost moth caterpillars affects these interactions. Evidence does not support the inference that protection from ghost moth caterpillars by the entomopathogenic nematode is key to the green world of bush lupine.","Bodega Marine Lab, Bodega Bay, CA 94923 USA; Colorado State Univ, Nat Resource Ecol Lab, Ft Collins, CO 80523 USA; Univ Idaho, Dept Fish & Wildlife Resources, Moscow, ID 83844 USA; Univ Idaho, Div Stat, Moscow, ID 83844 USA","Strong, DR (corresponding author), Bodega Marine Lab, Box 247, Bodega Bay, CA 94923 USA.",74,31,"ECOLOGICAL SOC AMER","WASHINGTON","1707 H ST NW, STE 400, WASHINGTON, DC 20006-3915 USA","DEC",1999,80,"8",NA,NA,NA,2750,"2761",NA,"10.2307/177255",12,"Environmental Sciences & Ecology",NA,"2021-05-12"
