"","","group0.1","reader"
"1","1920","top",""
"2","The recent ecological history of Glacier Bay, Alaska: II. The present vegetation cycle","top",""
"3","On the habits and ecology of the tube-buildin Amphipod amphithoe rubricata montagu","top",""
"4","General and successional ecology of the lower tropical rain-forest at Barro Colorado Island, Panama","top",""
"5","The felled tree trunk as an ecological unit","top",""
"6","The recent ecological history of Glacier Bay, Alaska: III. Permanent quadrats at Glacier Bay: An initial report upon a long-period study","top",""
"7","1930","top",""
"8","Studies in nocturnal ecology, II Preliminary analysis of activity rhyfhm in nocturnal forest insects","top",""
"9","Ecological succession in the Mytilus califorarianus habitat as observed in Monterey Bay California","top",""
"10","An ecological study of the fresh-water sponges of Wisconsin, II. The influence of calcium","top",""
"11","Studies on the ecology of the Orthoptera","top",""
"12","Atmometers of porous porcelain and paper, their use in physiological ecology","top",""
"13","1940","top",""
"14","The trophic-dynamic aspect of ecology","top",""
"15","MEASURES OF THE AMOUNT OF ECOLOGIC ASSOCIATION BETWEEN SPECIES","top",""
"16","ECOLOGY OF DESERT PLANTS .3. DEVELOPMENT OF PLANTS IN THE DEATH-VALLEY NATIONAL MONUMENT, CALIFORNIA","top",""
"17","ECOLOGY OF DESERT PLANTS .2. THE EFFECT OF RAIN AND TEMPERATURE ON GERMINATION AND GROWTH","top",""
"18","ECOLOGY OF DESERT PLANTS .1. OBSERVATIONS ON GERMINATION IN THE JOSHUA TREE NATIONAL MONUMENT, CALIFORNIA","top",""
"19","1950","top",""
"20","A FUNCTIONAL, FACTORIAL APPROACH TO PLANT ECOLOGY","top",""
"21","THE ECOLOGY OF JAMAICAN CORAL REEFS .1. SPECIES COMPOSITION AND ZONATION","top",""
"22","SOME ECOLOGICAL CHARACTERISTICS OF ANTS IN NEW-GUINEA RAIN FORESTS","top",""
"23","POPULATION ECOLOGY OF SOME WARBLERS OF NORTHEASTERN CONIFEROUS FORESTS","top",""
"24","THE ECOLOGY OF THE DESERT IGUANA DIPSOSAURUS-DORSALIS","top",""
"25","1960","top",""
"26","POPULATION ECOLOGY OF FERAL HOUSE MICE","top",""
"27","ENERGY VALUES OF ECOLOGICAL MATERIALS","top",""
"28","POPULATION ECOLOGY OF DESERT RODENT COMMUNITIES - HABITATS AND ENVIRONMENTAL COMPLEXITY","top",""
"29","ENERGY-STORAGE AND BALANCE OF PRODUCERS AND DECOMPOSERS IN ECOLOGICAL-SYSTEMS","top",""
"30","ECOLOGY + DISTRIBUTION OF POKET GOPHERS ( GEOMYIDAE ) IN COLORADO","top",""
"31","1970","top",""
"32","FEEDING ECOLOGY OF A TEMPERATE INSECTIVOROUS BAT (MYOTIS-VELIFER)","top",""
"33","DISTRIBUTIONAL ECOLOGY AND DIVERSITY OF BENTHIC INSECTS IN CEMENT CREEK, COLORADO","top",""
"34","FORAGING ECOLOGY AND COMMUNITY ORGANIZATION IN DESERT SEED-EATING ANTS","top",""
"35","AGE SPECIFICITY AND ECOLOGICAL THEORY","top",""
"36","ECOLOGICAL SIGNIFICANCE OF BERGMANNS RULE","top",""
"37","1980","top",""
"38","APPLYING METRIC AND NONMETRIC MULTIDIMENSIONAL-SCALING TO ECOLOGICAL-STUDIES - SOME NEW RESULTS","top",""
"39","ECOLOGICAL CONSEQUENCES OF FORAGING MODE","top",""
"40","SOME OBSERVATIONS ON THE USE OF DISCRIMINANT-ANALYSIS IN ECOLOGY","top",""
"41","THE PLANNED INTRODUCTION OF GENETICALLY ENGINEERED ORGANISMS - ECOLOGICAL CONSIDERATIONS AND RECOMMENDATIONS","top",""
"42","TROPICAL TERRITORIAL DAMSELFISHES - IS DENSITY LIMITED BY AGGRESSION OR RECRUITMENT","top",""
"43","1990","top",""
