,,group0.1,Reader
1,1920,top,
2,The felled tree trunk as an ecological unit,top,AB
3,"The recent ecological history of Glacier Bay, Alaska: II. The present vegetation cycle",top,
4,"The recent ecological history of Glacier Bay, Alaska: III. Permanent quadrats at Glacier Bay: An initial report upon a long-period study",top,
5,"General and successional ecology of the lower tropical rain-forest at Barro Colorado Island, Panama",top,
6,On the habits and ecology of the tube-buildin Amphipod amphithoe rubricata montagu,top,
7,1930,top,
8,Studies on the ecology of the Orthoptera,top,
9,Studies in nocturnal ecology III Recording apparatus and further analysis of activity rhythm,top,AB
10,"An ecological study of the fresh-water sponges of Wisconsin, II. The influence of calcium",top,
11,Distribution of ant species in the Chicago region with reference to ecological factors and physiological toleration,top,
12,"Studies in nocturnal ecology, II Preliminary analysis of activity rhyfhm in nocturnal forest insects",top,
13,1940,top,
14,MEASURES OF THE AMOUNT OF ECOLOGIC ASSOCIATION BETWEEN SPECIES,top,AB
15,ECOLOGY OF DESERT PLANTS .2. THE EFFECT OF RAIN AND TEMPERATURE ON GERMINATION AND GROWTH,top,
16,"ECOLOGY OF DESERT PLANTS .1. OBSERVATIONS ON GERMINATION IN THE JOSHUA TREE NATIONAL MONUMENT, CALIFORNIA",top,
17,The trophic-dynamic aspect of ecology,top,
18,"ECOLOGY OF DESERT PLANTS .3. DEVELOPMENT OF PLANTS IN THE DEATH-VALLEY NATIONAL MONUMENT, CALIFORNIA",top,
19,1950,top,
20,THE ECOLOGY OF JAMAICAN CORAL REEFS .1. SPECIES COMPOSITION AND ZONATION,top,
21,THE ECOLOGY OF THE DESERT IGUANA DIPSOSAURUS-DORSALIS,top,
22,SOME ECOLOGICAL CHARACTERISTICS OF ANTS IN NEW-GUINEA RAIN FORESTS,top,
23,THE ECOLOGY OF SERPENTINE SOILS .2. FACTORS AFFECTING PLANT GROWTH ON SERPENTINE SOILS,top,
24,"A FUNCTIONAL, FACTORIAL APPROACH TO PLANT ECOLOGY",top,
25,1960,top,
26,POPULATION ECOLOGY OF FERAL HOUSE MICE,top,
27,AN ECOLOGICAL SIGNIFICANCE OF EVERGREENNESS,top,
28,ENERGY VALUES OF ECOLOGICAL MATERIALS,top,AB
29,ENERGY-STORAGE AND BALANCE OF PRODUCERS AND DECOMPOSERS IN ECOLOGICAL-SYSTEMS,top,
30,POPULATION ECOLOGY OF DESERT RODENT COMMUNITIES - HABITATS AND ENVIRONMENTAL COMPLEXITY,top,
31,1970,top,
